659.00;0.00;0.00;0.00;0.00;0.00;0.00
686.00;0.10;0.00;0.00;0.00;0.00;0.00
718.00;4.20;0.80;0.00;0.00;0.00;0.00
739.00;7.30;2.80;0.20;0.00;0.00;0.00
814.00;8.20;4.60;1.10;0.00;0.00;0.00
922.00;10.40;6.90;3.60;0.00;0.00;0.00
1005.00;11.60;8.20;5.80;1.50;0.00;0.00
1065.00;12.40;9.10;6.70;3.40;0.00;0.00
1143.00;13.50;11.00;8.60;5.20;2.80;0.30
1225.00;14.50;12.10;9.60;6.20;3.70;1.30
1321.00;15.60;13.20;10.80;7.20;4.70;2.30
1424.00;16.60;14.20;11.70;8.30;6.70;4.10
1562.00;17.70;15.20;12.70;10.30;7.80;5.10
1711.00;19.10;16.70;15.20;11.70;9.20;6.70
1870.00;20.50;18.70;17.80;14.90;12.90;12.00
1977.00;21.50;19.90;18.70;15.90;14.90;12.90
2090.00;22.50;20.80;19.80;16.80;15.90;13.90
2218.00;23.50;21.90;20.90;18.00;16.90;14.90
2367.00;24.50;22.90;21.90;19.00;18.10;15.90
2535.00;25.50;24.90;22.90;21.00;19.00;18.10
2767.00;26.50;25.80;24.00;22.00;20.00;19.00
3104.00;27.80;27.10;25.20;23.20;21.20;20.20
3534.00;29.40;29.10;27.50;25.90;25.30;23.70
4118.00;30.50;30.30;28.50;26.90;26.30;25.70
4650.00;32.30;31.80;30.20;28.40;27.80;27.20
5194.00;33.30;32.80;32.20;29.70;28.80;28.20
5880.00;34.30;33.80;33.20;30.60;30.00;29.20
6727.00;36.30;35.90;35.10;33.20;32.80;32.40
7939.00;37.30;36.90;36.50;35.20;33.80;33.40
9560.00;39.30;38.90;38.50;37.20;36.80;35.40
11282.00;40.30;39.90;39.50;38.60;37.80;36.40
18854.00;41.30;40.90;40.50;39.60;39.20;37.40
20221.00;42.30;41.90;41.50;40.60;40.20;38.40
22749.00;43.10;42.90;42.50;41.60;41.20;39.60
25276.00;44.10;43.90;43.50;42.60;42.20;40.80
25276.00;45.10;44.90;44.50;43.60;43.20;41.80
